county,state,capital,population
Rhein-Pfalz-Kreis,RP,Ludwigshafen am Rhein,154201
Rhein-Sieg-Kreis,NW,Siegburg,599780
Rhön-Grabfeld,BY,Bad Neustadt an der Saale,79690
Rosenheim,BY,Rosenheim,260983
Rostock,MV,Güstrow,215113
Rotenburg (Wümme),NI,Rotenburg (Wümme),163455
Roth,BY,Roth,126958
Rottal-Inn,BY,Pfarrkirchen,120659
Rottweil,BW,Rottweil,139455
Saale-Holzland-Kreis,TH,Eisenberg,83051
Saalekreis,ST,Merseburg,184582
Saale-Orla-Kreis,TH,Schleiz,80868
Saalfeld-Rudolstadt,TH,Saalfeld/Saale,104142
Saarbrücken,SL,Saarbrücken,329708
Saarlouis,SL,Saarlouis,195201
Saarpfalz-Kreis,SL,Homburg,142631
Sächsische Schweiz-Osterzgebirge,SN,Pirna,245611
Salzlandkreis,ST,Bernburg (Saale),190560
Schaumburg,NI,Stadthagen,157781
Schleswig-Flensburg,SH,Schleswig,200025
Schmalkalden-Meiningen,TH,Meiningen,125646
Schwalm-Eder-Kreis,HE,Homberg (Efze),180222
Schwandorf,BY,Schwandorf,147189
Schwarzwald-Baar-Kreis,BW,Villingen-Schwenningen,212381
Schwäbisch Hall,BW,Schwäbisch Hall,195861
Schweinfurt,BY,Schweinfurt,115106
Segeberg,SH,Bad Segeberg,276032
Siegen-Wittgenstein,NW,Siegen,278210
Sigmaringen,BW,Sigmaringen,130873
Soest,NW,Soest,301902
Sömmerda,TH,Sömmerda,69655
Sonneberg,TH,Sonneberg,58410
Spree-Neiße,BB,Forst (Lausitz),114429
St. Wendel,SL,St. Wendel,87397
Stade,NI,Stade,203102
Starnberg,BY,Starnberg,136092
Steinburg,SH,Itzehoe,131347
Steinfurt,NW,Steinfurt,447614
Stendal,ST,Stendal,111982
Stormarn,SH,Bad Oldesloe,243196
Straubing-Bogen,BY,Straubing,100649
Südliche Weinstraße,RP,Landau in der Pfalz,110356
Südwestpfalz,RP,Pirmasens,95113
Teltow-Fläming,BB,Luckenwalde,168296
Tirschenreuth,BY,Tirschenreuth,72504
Traunstein,BY,Traunstein,177089
Trier-Saarburg,RP,Trier,148945
Tübingen,BW,Tübingen,227331
Tuttlingen,BW,Tuttlingen,140152
Uckermark,BB,Prenzlau,119552
Uelzen,NI,Uelzen,92572
Unna,NW,Unna,394782
Unstrut-Hainich-Kreis,TH,Mühlhausen/Thüringen,102912
Unterallgäu,BY,Mindelheim,144041
Vechta,NI,Vechta,141598
Verden,NI,Verden (Aller),136792
Viersen,NW,Viersen,298935
Vogelsbergkreis,HE,Lauterbach (Hessen),105878
Vogtlandkreis,SN,Plauen,227796
Vorpommern-Greifswald,MV,Greifswald,236697
Vorpommern-Rügen,MV,Stralsund,224684
Vulkaneifel,RP,Daun,60603
Waldeck-Frankenberg,HE,Korbach,156953
Waldshut,BW,Waldshut-Tiengen,170619
Warendorf,NW,Warendorf,277783
Wartburgkreis,TH,Bad Salzungen,119726
Weilheim-Schongau,BY,Weilheim in Oberbayern,135348
Weimarer Land,TH,Apolda,81947
Weißenburg-Gunzenhausen,BY,Weißenburg in Bayern,94393
Werra-Meißner-Kreis,HE,Eschwege,101017
Wesel,NW,Wesel,459809
Wesermarsch,NI,Brake (Unterweser),88624
Westerwaldkreis,RP,Montabaur,201597
Wetteraukreis,HE,Friedberg (Hessen),306460
Wittenberg,ST,Lutherstadt Wittenberg,125840
Wittmund,NI,Wittmund,56882
Wolfenbüttel,NI,Wolfenbüttel,119960
Wunsiedel im Fichtelgebirge,BY,Wunsiedel,73178
Würzburg,BY,Würzburg,161834
Zollernalbkreis,BW,Balingen,188935
Zwickau,SN,Zwickau,317531
